Linux 5.15.0-73-generic (ubuntu2004) 	06/15/2023 	_x86_64_	(8 CPU)

06:59:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    5.54    0.00    5.21    0.02    0.00    0.08    0.00    0.00    0.00   89.15

03:50:02 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:50:32 AM  all   86.10    0.00   13.24    0.03    0.00    0.49    0.00    0.00    0.00    0.15
03:51:02 AM  all   87.50    0.00   11.91    0.02    0.00    0.47    0.00    0.00    0.00    0.11
03:51:32 AM  all   85.71    0.00   12.88    0.05    0.00    1.13    0.00    0.00    0.00    0.22
03:52:02 AM  all   86.68    0.00   11.98    0.09    0.00    0.90    0.00    0.00    0.00    0.35
03:52:32 AM  all   25.37    0.00    3.17    0.10    0.00    0.16    0.00    0.00    0.00   71.20
03:53:02 AM  all    0.36    0.00    1.17    0.18    0.00    0.13    0.00    0.00    0.00   98.17
03:53:32 AM  all    0.42    0.00    1.15    0.10    0.00    0.11    0.00    0.00    0.00   98.22
03:54:02 AM  all    0.32    0.00    0.97    0.13    0.00    0.11    0.00    0.00    0.00   98.46
03:54:32 AM  all    0.30    0.00    0.84    0.10    0.00    0.10    0.00    0.00    0.00   98.67
03:55:02 AM  all    0.79    0.00    0.99    0.09    0.00    0.09    0.00    0.00    0.00   98.05
03:55:32 AM  all    0.29    0.00    0.87    0.08    0.00    0.08    0.00    0.00    0.00   98.69
03:56:02 AM  all    0.31    0.00    1.30    0.05    0.00    0.06    0.00    0.00    0.00   98.28
03:56:32 AM  all    0.44    0.00    0.82    0.18    0.00    0.07    0.00    0.00    0.00   98.49
03:57:02 AM  all    0.37    0.00    0.80    0.20    0.00    0.08    0.00    0.00    0.00   98.56
03:57:32 AM  all    0.08    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.77
03:58:02 AM  all    0.23    0.00    0.32    0.04    0.00    0.02    0.00    0.00    0.00   99.39
03:58:32 AM  all    0.45    0.00    0.98    0.26    0.00    0.15    0.00    0.00    0.00   98.16
03:59:02 AM  all    0.08    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.72
03:59:32 AM  all    0.20    0.00    0.34    0.03    0.00    0.03    0.00    0.00    0.00   99.40
04:00:02 AM  all    0.18    0.00    0.34    0.05    0.00    0.03    0.00    0.00    0.00   99.41
04:00:32 AM  all    0.11    0.00    0.15    0.03    0.00    0.00    0.00    0.00    0.00   99.71
04:01:02 AM  all    0.08    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   99.74
04:01:32 AM  all    0.15    0.00    0.23    0.01    0.00    0.00    0.00    0.00    0.00   99.60
04:02:02 AM  all    0.06    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.83
04:02:32 AM  all    1.00    0.00    0.89    0.41    0.00    0.13    0.00    0.00    0.00   97.58
04:03:02 AM  all    0.25    0.00    0.39    0.00    0.00    0.00    0.00    0.00    0.00   99.36
04:03:32 AM  all    0.09    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.74
04:04:02 AM  all    0.16    0.00    0.29    0.00    0.00    0.00    0.00    0.00    0.00   99.55
04:04:32 AM  all    2.69    0.00    1.97    0.05    0.00    0.07    0.00    0.00    0.00   95.23
04:05:02 AM  all    3.87    0.00    2.20    0.00    0.00    0.06    0.00    0.00    0.00   93.87
Average:     all   12.74    0.00    2.35    0.08    0.00    0.15    0.00    0.00    0.00   84.68
