Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

12:31:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:52:08 PM  all    0.10    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.73
02:52:38 PM  all    0.10    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   99.69
02:53:08 PM  all    0.11    0.00    0.17    0.00    0.00    0.00    0.00    0.00    0.00   99.72
02:53:38 PM  all    0.06    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.82
02:54:08 PM  all    0.08    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.77
02:54:38 PM  all    0.09    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.79
02:55:08 PM  all    0.10    0.00    0.12    0.00    0.00    0.00    0.00    0.00    0.00   99.77
02:55:38 PM  all    0.16    0.00    0.23    0.00    0.00    0.01    0.00    0.00    0.00   99.61
02:56:08 PM  all    0.30    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   99.49
02:56:38 PM  all    0.20    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.61
02:57:08 PM  all    0.09    0.00    0.23    0.00    0.00    0.01    0.00    0.00    0.00   99.68
02:57:38 PM  all    0.10    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.74
02:58:08 PM  all    0.10    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.74
02:58:38 PM  all    0.07    0.00    0.11    0.00    0.00    0.00    0.00    0.00    0.00   99.82
02:59:08 PM  all    0.11    0.00    0.23    0.00    0.00    0.00    0.00    0.00    0.00   99.65
02:59:38 PM  all    0.09    0.00    0.15    0.00    0.00    0.01    0.00    0.00    0.00   99.75
03:00:08 PM  all    0.08    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.80
03:00:38 PM  all    0.08    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.77
03:01:08 PM  all    0.12    0.00    0.15    0.00    0.00    0.00    0.00    0.00    0.00   99.72
03:01:38 PM  all    0.67    0.00    0.67    0.00    0.00    0.01    0.00    0.00    0.00   98.65
03:02:08 PM  all    0.10    0.00    0.14    0.00    0.00    0.00    0.00    0.00    0.00   99.76
03:02:38 PM  all    0.32    0.00    0.37    0.00    0.00    0.00    0.00    0.00    0.00   99.30
03:03:08 PM  all    0.09    0.00    0.16    0.00    0.00    0.01    0.00    0.00    0.00   99.74
03:03:38 PM  all    0.10    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.76
03:04:08 PM  all    0.08    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.78
Average:     all   12.91    0.00    1.05    0.00    0.00    0.01    0.00    0.00    0.00   86.03
Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)

03:07:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:07:42 PM  all   92.48    0.00    6.81    0.00    0.00    0.04    0.00    0.00    0.00    0.67
03:08:12 PM  all   92.81    0.00    6.32    0.00    0.00    0.01    0.00    0.00    0.00    0.87
03:08:42 PM  all   92.78    0.00    6.44    0.00    0.00    0.02    0.00    0.00    0.00    0.76
03:09:12 PM  all   93.34    0.00    5.97    0.00    0.00    0.01    0.00    0.00    0.00    0.68
03:09:42 PM  all   12.30    0.00    1.36    0.00    0.00    0.02    0.00    0.00    0.00   86.33
03:10:12 PM  all    1.69    0.00    0.37    0.01    0.00    0.00    0.00    0.00    0.00   97.92
03:10:42 PM  all   58.03    0.00    3.77    0.01    0.00    0.02    0.00    0.00    0.00   38.16
03:11:12 PM  all   91.35    0.00    7.69    0.00    0.00    0.01    0.00    0.00    0.00    0.94
03:11:42 PM  all   91.93    0.00    7.23    0.00    0.00    0.06    0.00    0.00    0.00    0.77
03:12:12 PM  all   88.16    0.00    9.64    0.00    0.00    0.06    0.00    0.00    0.00    2.13
03:12:42 PM  all   14.31    0.00    2.85    0.02    0.00    0.08    0.00    0.00    0.00   82.74
03:13:12 PM  all    0.26    0.00    0.32    0.00    0.00    0.00    0.00    0.00    0.00   99.41
03:13:42 PM  all    0.21    0.00    0.18    0.00    0.00    0.00    0.00    0.00    0.00   99.61
03:14:12 PM  all    3.29    0.00    3.40    0.03    0.00    0.07    0.00    0.00    0.00   93.22
Linux 5.15.0-73-generic (ubuntu2004) 	06/14/2023 	_x86_64_	(8 CPU)
03:14:42 PM  all   79.35    0.00   10.07    0.04    0.00    0.13    0.00    0.00    0.00   10.41

03:14:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:14:49 PM  all   92.50    0.00    6.77    0.00    0.00    0.02    0.00    0.00    0.00    0.72
03:15:12 PM  all   92.74    0.00    6.50    0.00    0.00    0.01    0.00    0.00    0.00    0.75
03:15:19 PM  all   92.57    0.00    6.64    0.00    0.00    0.03    0.00    0.00    0.00    0.75
03:15:42 PM  all   93.02    0.00    6.30    0.00    0.00    0.03    0.00    0.00    0.00    0.65
03:15:49 PM  all   92.77    0.00    6.51    0.00    0.00    0.03    0.00    0.00    0.00    0.69
